marketIndex,symbol,decimals,vault,onchainBalance,onchainBalanceUi,netDeposits,netDepositsUi,revenuePool,revenuePoolUi,unaccounted,unaccountedUi,remainingBalance,remainingBalanceUi
0,USDC,6,GXWqPpjQpdz7KZw9p7f5PX2eGxHAhvpNXiviFkAB8zXg,267124960355,267124.960355,15696,0.015696,4921364247,4921.364247,262203580412,262203.580412,4921379943,4921.379943
1,SOL,9,DfYCNezifxAEsQbAJ1b3j6PX3JVBe8fu11KBhxsbw5d2,126922686062,126.922686062,2341871,0.002341871,30157483753,30.157483753,96762860438,96.762860438,30159825624,30.159825624
2,mSOL,9,5p8B6KhJjesV212heBu1o86W2vUSnW1P83ZNnMLtCAAx,1201000157,1.201000157,63407727,0.063407727,645370799,0.645370799,492221631,0.492221631,708778526,0.708778526
3,wBTC,8,3Zaz6vATY8br9WceXWD1Xa7fcyCpKSNanWFDRTEjjPqb,238128,0.00238128,1,0.00000001,540301,0.00540301,-302174,-0.00302174,540302,0.00540302
4,wETH,8,7vj6xtMi62a65yLNhe2APCib7baQsCqsu1y45G93xrdP,2861562,0.02861562,8,0.00000008,31862911,0.31862911,-29001357,-0.29001357,31862919,0.31862919
5,USDT,6,8A99Z4mV5uoicHbiBsaMhYvJtmwPygtVXpNvtPrh7usS,141450046,141.450046,2534,0.002534,135506850,135.50685,5940662,5.940662,135509384,135.509384
6,jitoSOL,9,2AG6YN9Wi7JDrFcLNhaEP2NrXyZKFj7EjMPdkvwPdRR1,3298177474,3.298177474,6115372,0.006115372,2562389173,2.562389173,729672929,0.729672929,2568504545,2.568504545
7,PYTH,6,9WDsKiXN8vnJk3riuWrKcPwgNuaBL8D7iUPK7QwXvS8w,903452607,903.452607,877488036,877.488036,3498876,3.498876,22465695,22.465695,880986912,880.986912
8,bSOL,9,DsLVrjqo3sW6Z956m9nS7Xu4BGWwHBrMRqUkWNnGQeoB,579028878,0.579028878,71451057,0.071451057,789078211,0.789078211,-281500390,-0.28150039,860529268,0.860529268
9,JTO,9,2PSzjnvg9DDNdqvdti6JX1zRULntBsm95HamgJXh91bj,160492455984564,160492.455984564,160490649557951,160490.649557951,711026895,0.711026895,1095399718,1.095399718,160491360584846,160491.360584846
10,WIF,6,Cjx7yYciKhnsg4XhNg5Luhjw4M46zN69d1EQ1p7kdktC,106121452812,106121.452812,106119560005,106119.560005,73853,0.073853,1818954,1.818954,106119633858,106119.633858
11,JUP,6,7CJvNfodg9yuKv9gBFRznArLcFzUXWr75f5ZYrWWLhHK,33273003,33.273003,220015,0.220015,284814275,284.814275,-251761287,-251.761287,285034290,285.03429
12,RENDER,8,GdQ2MiWUGxDSEQvKJeFQWspzCddFVCz2Q3N2HobnMZzA,7038546678284,70385.46678284,7038523327375,70385.23327375,18407980,0.1840798,4942929,0.04942929,7038541735355,70385.41735355
13,W,6,9CqxJvZEtis1TqFMxVKaoFUJyyEazfcJQgLYZS6YJncc,287249976038,287249.976038,287247417118,287247.417118,34876080,34.87608,-32317160,-32.31716,287282293198,287282.293198
14,TNSR,9,5w4hqxHnDsTfQmRLmjeqEf2dTbrfnarPp4TBJEvYFZsb,1650066459090,1650.06645909,1649839495840,1649.83949584,2053241989,2.053241989,-1826278739,-1.826278739,1651892737829,1651.892737829
15,DRIFT,6,BzZZhiX4xWzgoHTZtChAL87dgMARMrUn2zkN54Hp9vCp,8743353067236,8743353.067236,8743277399851,8743277.399851,3596329,3.596329,72071056,72.071056,8743280996180,8743280.99618
16,INF,9,58ACj986huaXwNUHD6YKJ88gZzyUY4rhSTizyaGvnyAy,290871621,0.290871621,85412,0.000085412,2352314870,2.35231487,-2061528661,-2.061528661,2352400282,2.352400282
