market_index,market_symbol,oracle_price,market_type
0,USDC,0.99985,spot
1,SOL,83.39528527,spot
2,mSOL,113.9575448,spot
3,wBTC,68670.99454,spot
4,wETH,2129.415583,spot
5,USDT,0.99965568,spot
6,jitoSOL,105.9567982,spot
7,PYTH,0.03994441,spot
8,bSOL,107.3328163,spot
9,JTO,0.27804152,spot
10,WIF,0.18574625,spot
11,JUP,0.16449569,spot
12,RENDER,1.80138267,spot
13,W,0.01506622,spot
14,TNSR,0.03924393,spot
15,DRIFT,0.07148125,spot
16,INF,117.7625516,spot
17,dSOL,98.5890274,spot
18,USDY,1.12645967,spot
19,JLP,3.72389802,spot
20,POPCAT,0.04888235,spot
21,CLOUD,0.03620097,spot
22,PYUSD,1.00000472,spot
23,USDe,0.99931794,spot
24,sUSDe,1.22493647,spot
25,BNSOL,92.1500375,spot
26,MOTHER,0.00090111,spot
27,cbBTC,68807.35606,spot
28,USDS,0.9998167,spot
29,META,2713.489426,spot
30,ME,0.10143484,spot
31,PENGU,0.00663917,spot
32,BONK,0.0000059733,spot
33,JLP-1,3.7277223,spot
34,USDC-1,0.99985,spot
35,AI16Z,0.023657,spot
36,TRUMP,3.01223713,spot
37,MELANIA,0.11409255,spot
38,AUSD,0.99982783,spot
39,FARTCOIN,0.17675,spot
40,JitoSOL-3,105.9567982,spot
41,PT-fragSOL-10JUL25-3,83.39528527,spot
42,PT-kySOL-15JUN25-3,83.39528527,spot
43,PT-dSOL-30JUN25-3,83.39528527,spot
44,JTO-3,0.27804152,spot
45,zBTC,68816.78021,spot
46,ZEUS,0.00820574,spot
47,USDC-4,0.99985,spot
48,USDT-4,0.99965568,spot
49,SOL-2,83.39528527,spot
50,JitoSOL-2,105.9567982,spot
51,JTO-2,0.27804152,spot
52,dfdvSOL,89.31117918,spot
53,sACRED,0,spot
54,EURC,1.16105242,spot
55,PT-fragSOL-31OCT25-3,83.39528527,spot
56,PUMP,0.00171546,spot
57,syrupUSDC,1.15792565,spot
58,LBTC,68940.15602,spot
59,2Z,0.0778115,spot
60,MET,0.13200322,spot
61,CASH,0.99954724,spot
62,USD1,0.99950012,spot
0,SOL-PERP,83.39528527,perp
1,BTC-PERP,68766.37138,perp
2,ETH-PERP,2129.415583,perp
3,APT-PERP,0.90512111,perp
4,1MBONK-PERP,5.9733,perp
5,POL-PERP,0.09342053,perp
6,ARB-PERP,0.09450573,perp
7,DOGE-PERP,0.09272974,perp
8,BNB-PERP,613.7930245,perp
9,SUI-PERP,0.89735377,perp
10,1MPEPE-PERP,3.4366,perp
11,OP-PERP,0.11172319,perp
12,RENDER-PERP,1.80138267,perp
13,XRP-PERP,1.35456501,perp
14,HNT-PERP,1.07904992,perp
15,INJ-PERP,2.89947091,perp
16,LINK-PERP,8.9768,perp
17,RLB-PERP,0.06339162,perp
18,PYTH-PERP,0.03994441,perp
19,TIA-PERP,0.30186555,perp
20,JTO-PERP,0.27804152,perp
21,SEI-PERP,0.05402456,perp
22,AVAX-PERP,9.19354783,perp
23,WIF-PERP,0.18574625,perp
24,JUP-PERP,0.16449569,perp
25,DYM-PERP,0.02493965,perp
26,TAO-PERP,321.4445979,perp
27,W-PERP,0.01506622,perp
28,KMNO-PERP,0.01770917,perp
29,TNSR-PERP,0.03924393,perp
30,DRIFT-PERP,0.07148125,perp
31,CLOUD-PERP,0.03620097,perp
32,IO-PERP,0.10744881,perp
33,ZEX-PERP,0.03120744,perp
34,POPCAT-PERP,0.04888235,perp
35,1KWEN-PERP,0.0000050304,perp
42,TON-PERP,1.23151412,perp
44,MOTHER-PERP,0.00090111,perp
45,MOODENG-PERP,0.04780497,perp
47,DBR-PERP,0.0146779358,perp
51,1KMEW-PERP,0.00057738,perp
52,MICHI-PERP,0.0010247,perp
53,GOAT-PERP,0.017744833,perp
54,FWOG-PERP,0.00512713,perp
55,PNUT-PERP,0.04076174,perp
56,RAY-PERP,0.67826105,perp
59,HYPE-PERP,37.36712065,perp
60,LTC-PERP,54.11378722,perp
61,ME-PERP,0.10143484,perp
62,PENGU-PERP,0.00663917,perp
63,AI16Z-PERP,0.086406,perp
64,TRUMP-PERP,3.01223713,perp
65,MELANIA-PERP,0.11409255,perp
66,BERA-PERP,0.444208,perp
69,KAITO-PERP,0.404081,perp
70,IP-PERP,0.520866,perp
71,FARTCOIN-PERP,0.17675,perp
72,ADA-PERP,0.249189,perp
73,PAXG-PERP,4776.297344,perp
74,LAUNCHCOIN-PERP,0.000588,perp
75,PUMP-PERP,0.001717,perp
76,ASTER-PERP,0.675682,perp
77,XPL-PERP,0.102254,perp
78,2Z-PERP,0.0778115,perp
79,ZEC-PERP,243.239879,perp
80,MNT-PERP,0.700124,perp
81,1KPUMP-PERP,1.71777,perp
82,MET-PERP,0.132499,perp
83,1KMON-PERP,24.67612,perp
84,LIT-PERP,0.8915,perp
85,BP-PERP,0.149565,perp
